file,length,dtype
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_QFLOCCU.json,1440,int
Statistik_UTKU_UT_Utb efter grundskolan_Övrig utbildning_UT062.json,3630,int
Statistik_UTKU_UT_Utb efter grundskolan_Gymnasienivå_UT041.json,3808,mixed
Statistik_AR_Avslutade_AR010.json,285,int
Statistik_NA_Socialräkenskapsmatriser_SAM2010AGG.json,100,float
Statistik_UTKU_KU_KU003.json,240,int
Statistik_TUTRSJ_TR_TR002.json,6336,int
Statistik_VA_VA011.json,4284,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_OUTMIGOCCU.json,4320,int
Statistik_KO_Avslutade_KO004.json,2197,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_RECROCCU.json,1440,int
Statistik_FOHA_FO_Avslutade_FO009.json,1088,int
Statistik_VA_VA007.json,6732,int
Statistik_OF_2. Landskapet Ålands ekonomiuppgifter_OF007.json,450,int
Statistik_NA_Bruttonationalprodukt_NA005.json,84,int
Statistik_UTKU_UT_Grundskolan_UT007.json,221,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_HHDCONS.json,720,mixed
Statistik_UTKU_UT_Utb efter grundskolan_Gymnasienivå_UT057.json,2340,int
Statistik_FOHA_HA_Avslutade_HA018.json,150,mixed
Statistik_BE_Befolkningens storlek och struktur_BE033.json,37830,int
Statistik_TUTRSJ_TR_TR014.json,2016,int
Statistik_TUTRSJ_TU_Inkvartering_TU009.json,4260,int
Statistik_NA_Konsumtion_NA030.json,605,mixed
Statistik_BOBY_BO_BO006.json,29835,int
Statistik_FOHA_FO_Företagsbestånd_FO012.json,418,int
Statistik_UTKU_UT_Lärare_UT022.json,630,int
Statistik_SO_SO015.json,40,int
Statistik_SO_SO003.json,3800,mixed
Statistik_FOHA_HA_Avslutade_HA022.json,104,mixed
Statistik_BE_Befolkningens storlek och struktur_BE009.json,9072,int
Statistik_FOHA_FO_Företagsbestånd_FO012b.json,396,int
Statistik_NA_Konsumtion_NA026.json,968,mixed
Statistik_FOHA_FO_Arbetsställen_FO018.json,15521,int
Statistik_BOBY_BO_BO010.json,315,mixed
Statistik_AR_Arbetslöshet_AR005.json,888,mixed
Statistik_OF_2. Landskapet Ålands ekonomiuppgifter_OF036.json,176,int
Statistik_FOHA_HA_Avslutade_HA029.json,91,mixed
Statistik_SO_SO008.json,204,int
Statistik_NA_Avslutade_NA001.json,684,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.4 Investeringar_OF040.json,61824,int
Statistik_UTKU_UT_Avslutade_UT033.json,864,mixed
Utredning_Äldre utredningar eller scenarier_Skatteutredning_14_POPUACOH.json,17280,int
Statistik_OF_Avslutade_OF004.json,756,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF025.json,3168,int
Statistik_NA_Konsumtion_NA040.json,440,mixed
Statistik_BE_Befolkningsrörelsen_BE006.json,5253,int
Statistik_FOHA_HA_Avslutade_HA013.json,104,int
Statistik_BE_Befolkningens storlek och struktur_BE038.json,24726,int
Statistik_TUTRSJ_SJ_Konjunkturstatistik för sjöfarten_SJ101.json,132,int
Statistik_TUTRSJ_TU_Inkvartering_Avslutade tidsserier_TU004.json,440,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_EXAMS.json,144,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.3 Driftsekonomi_OF035.json,903,int
Statistik_TUTRSJ_TR_TR009.json,1800,int
Statistik_FOHA_HA_Avslutade_HA005.json,176,int
Utredning_Utbildning och arbetsmarknad 2035_UNEMPRO.json,102,mixed
Statistik_UTKU_UT_Avslutade_UT029.json,1620,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_53_MUNITAX.json,384,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_INMIGOCCU.json,4320,int
Statistik_SO_SO004.json,1368,int
Statistik_FOHA_HA_Avslutade_HA025.json,104,int
Statistik_BE_Befolkningsrörelsen_BE030.json,7581,int
Statistik_SO_SO012.json,360,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_32_ESTATE.json,384,mixed
Statistik_FOHA_FO_Företagsbestånd_FO015.json,23987,int
Statistik_NA_Konsumtion_NA037.json,220,mixed
Statistik_TUTRSJ_TR_TR013.json,693,int
