file,length,dtype
Statistik_UTKU_UT_Barnomsorg_UT013.json,798,mixed
"Statistik_TUTRSJ_SJ_Handelsflottan, sysselsättning, resande_SJ022.json",2142,int
Statistik_FOHA_FO_Arbetsställen_FO017.json,23987,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_24_UNEMPRO.json,384,mixed
Statistik_AR_Arbetslöshet_AR001.json,6111,mixed
Statistik_INLO_IN_IN004.json,928,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_QFLSEX.json,432,int
Statistik_KO_KO009.json,98400,mixed
Statistik_NA_Konsumtion_NA029.json,847,mixed
Statistik_INLO_IN_IN005.json,3451,int
Statistik_KO_KO008.json,17576,mixed
Statistik_FOHA_FO_Företagens ekonomi_FO004.json,2160,mixed
Statistik_NA_Konsumtion_NA028.json,968,mixed
Statistik_UTKU_UT_Barnomsorg_UT012.json,68,mixed
Statistik_BE_Befolkningens storlek och struktur_BE050.json,4080,int
Statistik_AR_Arbetslöshet_AR004b.json,24624,mixed
Statistik_INLO_LO_Avslutade_LO005.json,1680,int
Statistik_BE_Befolkningens storlek och struktur_BE007.json,30600,int
Statistik_FOHA_FO_Koncerner_FO019.json,420,int
Statistik_UTKU_UT_Utb efter grundskolan_Övrig utbildning_UT056.json,285,int
Statistik_UTKU_UT_Utb efter grundskolan_Gymnasienivå_UT075.json,2925,int
Statistik_BOBY_BY_BY003.json,13872,int
Statistik_NA_Avslutade_NA004.json,186,mixed
Statistik_INLO_IN_Avslutade_IN002gammal.json,66096,int
Statistik_BOBY_BO_BO008.json,135,mixed
Statistik_NA_Konsumtion_NA045.json,385,mixed
Statistik_BE_Befolkningsrörelsen_BE003.json,13464,int
Statistik_OF_Avslutade_OF001.json,11220,int
Statistik_FOHA_FO_Företagens ekonomi_FO014b.json,4056,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF020.json,408,int
Statistik_FOHA_FO_Koncerner_FO023.json,966,mixed
Statistik_FOHA_HA_Avslutade_HA016.json,104,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_POPAGEM.json,1008,int
Statistik_TUTRSJ_SJ_Konjunkturstatistik för sjöfarten_SJ104.json,192,int
Statistik_BE_Befolkningsrörelsen_BE054.json,8360,mixed
Statistik_VA_VA009.json,1020,int
Statistik_FOHA_FO_Avslutade_FO007.json,576,int
Statistik_JO_JO001.json,450,int
Statistik_OF_2. Landskapet Ålands ekonomiuppgifter_OF009.json,539,int
Statistik_BE_Befolkningsrörelsen_BE042.json,9720,int
Statistik_FOHA_FO_Avslutade_FO011.json,240,int
Statistik_AR_Sysselsättning_AR011b.json,198,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.3 Driftsekonomi_OF030.json,1848,int
Statistik_BE_Befolkningsrörelsen_BE015.json,21879,int
Statistik_NA_Konsumtion_NA053.json,366,mixed
Statistik_TUTRSJ_TU_Inkvartering_TU011.json,1200,mixed
Statistik_SO_SO021.json,120,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.3 Driftsekonomi_OF010.json,4488,int
Statistik_INLO_IN_IN009.json,7800,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_PSUBCONS.json,2400,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_QFLFED.json,1440,mixed
Statistik_FOHA_HA_Avslutade_HA020.json,91,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF016.json,408,int
Statistik_FOHA_FO_Företagsbestånd_FO006.json,2312,int
Statistik_AR_Arbetsplatser_AR017.json,79560,int
Statistik_INLO_LO_Avslutade_LO009.json,714,int
Statistik_SO_SO017.json,54,int
Statistik_BE_Prognoser_BEFOLD_BE048.json,480,int
Statistik_UTKU_UT_Befolkningens utbildning_UT081.json,3150,int
Statistik_BOBY_BO_BO004.json,26520,int
Statistik_NA_Konsumtion_NA032.json,11,float
Statistik_TUTRSJ_TR_TR016.json,6120,int
Statistik_UTKU_UT_Grundskolan_UT005.json,432,mixed
Statistik_UTKU_UT_Studerande utanför ax_UT024.json,546,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_12_POPTOT.json,384,int
Statistik_VA_VA005.json,19635,int
Utredning_Utbildning och arbetsmarknad 2035_QFLABOCCU.json,1836,mixed
"Statistik_TUTRSJ_SJ_Handelsflottan, sysselsättning, resande_SJ003.json",550,int
Statistik_FOHA_FO_Företagens ekonomi_FO024.json,5940,mixed
Statistik_KO_Avslutade_KO006.json,507,mixed
Statistik_VA_VA013.json,2880,mixed
Statistik_INLO_LO_LO002.json,2880,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_POPACOH.json,2304,int
Statistik_AR_Sysselsättning_AR011.json,368,int
Statistik_UTKU_UT_Avslutade_UT057.json,897,int
